PROJECT_ID,BUG_ID,FRAME,SLOC,MAX_FRAME,BOTSING_SUCCESSFUL,GZOLTAR_SUCCESSFUL,DEFECTIVE_STATEMENT,GREEN_TEST_CASES,RED_TEST_CASES_HUMAN,RED_TEST_CASES_BOTSING,EXAM_HUMAN,EXAM_BOTSING,EXAM_HUMAN-BOTSING,SL_HUMAN,SL_BOTSING,SL_HUMAN-BOTSING,CATEGORY,DESCRIPTION
Math,70,1,440,3,Y,Y,org.apache.commons.math.analysis.solvers$BisectionSolver:72,15,1,1,1,0,1,1,0,0.70710678118655,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Math,70,2,440,3,Y,Y,org.apache.commons.math.analysis.solvers$BisectionSolver:72,15,1,1,1,0,2,1,0,0.70710678118655,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Math,70,3,440,3,Y,Y,org.apache.commons.math.analysis.solvers$BisectionSolver:72,15,1,1,1,1,1,1,1,1,EQUIVALENT,Generated test case exposes the bug perfectly.
Math,78,2,934,3,Y,Y,org.apache.commons.math.ode.events$EventState:188 org.apache.commons.math.ode.events$EventState:201,117,1,1,24,0,33,0.10846522890933,0,0.076696498884737,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Math,78,3,934,3,Y,Y,org.apache.commons.math.ode.events$EventState:188 org.apache.commons.math.ode.events$EventState:201,117,1,1,24,16,20,0.10846522890933,0.10846522890933,0.1524985703326,SUPERIOR,Generated test case exposes the bug perfectly.
Math,79,1,930,2,Y,Y,org.apache.commons.math.util$MathUtils:1624 org.apache.commons.math.util$MathUtils:1626,865,1,1,9,14,9,0.5,0.5,0.63245553203368,INFERIOR,Generated test case exposes the bug perfectly. Ranking difference is caused by the complexity of the Botsing test case.
Math,81,6,8141,6,Y,Y,org.apache.commons.math.linear$EigenDecompositionImpl:905 org.apache.commons.math.linear$EigenDecompositionImpl:906 org.apache.commons.math.linear$EigenDecompositionImpl:1543 org.apache.commons.math.linear$EigenDecompositionImpl:603,34,1,1,1,1,1,0.57735026918963,0.57735026918963,0.70710678118655,EQUIVALENT,Generated test case exposes the bug perfectly.
Math,84,1,531,3,Y,Y,org.apache.commons.math.optimization.direct$MultiDirectional:64 org.apache.commons.math.optimization.direct$MultiDirectional:92 org.apache.commons.math.optimization.direct$MultiDirectional:94,3,2,1,36,0,39,0.40824829046386,0,0.33333333333333,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Math,84,2,531,3,Y,Y,org.apache.commons.math.optimization.direct$MultiDirectional:64 org.apache.commons.math.optimization.direct$MultiDirectional:90 org.apache.commons.math.optimization.direct$MultiDirectional:94,3,2,1,6,17,13,0.70710678118655,0.57735026918963,0.77459666924148,INFERIOR,"Generated test case exposes the bug perfectly. It is equivalent to the human test case, only the human written test case is a little bit more thorough."
Math,84,3,531,3,Y,Y,org.apache.commons.math.optimization.direct$MultiDirectional:64 org.apache.commons.math.optimization.direct$MultiDirectional:90 org.apache.commons.math.optimization.direct$MultiDirectional:94,3,2,1,6,0,35,0.70710678118655,0,0.57735026918963,NO_DEFECTIVE_STATEMENT,"The max iterations is set to a negative number, resulting is a MaxIterationsExceededException in the first iteration. Therefore the defective statement is not executed."
Math,89,1,188,1,Y,Y,org.apache.commons.math.stat$Frequency:110 org.apache.commons.math.stat$Frequency:111,6,1,1,1,2,1,0.70710678118655,0.70710678118655,0.81649658092773,EQUIVALENT,"Generated test case exposes the bug perfectly. The bug is that any Object could be passed through the addValue method. However, if the object is not an implementation of Comparable then it will lead to other exceptions."
Math,90,1,185,1,Y,Y,org.apache.commons.math.stat$Frequency:110 org.apache.commons.math.stat$Frequency:121,6,1,1,2,2,2,0.40824829046386,0.40824829046386,0.53452248382485,EQUIVALENT,Equivalent to the human test case.
Math,95,1,1003,4,Y,Y,org.apache.commons.math.distribution$FDistributionImpl:144 org.apache.commons.math.distribution$FDistributionImpl:146 org.apache.commons.math.distribution$FDistributionImpl:148,22,1,1,5,0,8,0.57735026918963,0,0.40824829046386,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Math,95,2,1003,4,Y,Y,org.apache.commons.math.distribution$FDistributionImpl:144 org.apache.commons.math.distribution$FDistributionImpl:146 org.apache.commons.math.distribution$FDistributionImpl:148,22,1,1,5,0,7,0.57735026918963,0,0.40824829046386,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Math,95,3,1003,4,Y,Y,org.apache.commons.math.distribution$FDistributionImpl:144 org.apache.commons.math.distribution$FDistributionImpl:146 org.apache.commons.math.distribution$FDistributionImpl:148,22,1,1,5,5,5,0.57735026918963,0.57735026918963,0.70710678118655,EQUIVALENT,Generated test case exposes the bug perfectly.
Math,95,4,1003,4,Y,Y,org.apache.commons.math.distribution$FDistributionImpl:144 org.apache.commons.math.distribution$FDistributionImpl:146 org.apache.commons.math.distribution$FDistributionImpl:148,22,1,1,5,5,5,0.57735026918963,0.57735026918963,0.70710678118655,EQUIVALENT,Generated test case exposes the bug perfectly.
Math,97,1,429,1,Y,Y,org.apache.commons.math.analysis$BrentSolver:138 org.apache.commons.math.analysis$BrentSolver:145 org.apache.commons.math.analysis$BrentSolver:140 org.apache.commons.math.analysis$BrentSolver:148 org.apache.commons.math.analysis$BrentSolver:149,128,1,1,13,4,5,0.17677669529664,0.17677669529664,0.24618298195867,FAILS_AFTER_FIX,Botsing test cases still fails in fixed version. The generated test case does not meet a precondition.
Math,98,1,1511,1,Y,Y,org.apache.commons.math.linear$BigMatrixImpl:991 org.apache.commons.math.linear$RealMatrixImpl:779,131,2,1,1,3,1,0.40824829046386,0.57735026918963,0.57735026918963,INFERIOR,"The human-written test cases uses the <code>operate(BigDecimal[] v)</code> method directly, while the botsing test cases uses the overloaded method."
Math,100,1,1158,1,Y,Y,org.apache.commons.math.estimation$AbstractEstimator:166 org.apache.commons.math.estimation$AbstractEstimator:202 org.apache.commons.math.estimation$AbstractEstimator:207,47,1,1,3,3,3,0.57735026918963,0.57735026918963,0.70710678118655,FAILS_AFTER_FIX,Futhermore it uses another test class (?) (LevenbergMarquardtEstimatorTest)
Math,101,1,240,1,N,N,org.apache.commons.math.complex$ComplexFormat:377,,,,,,,,,,OTHER,
Math,103,1,522,3,Y,Y,org.apache.commons.math.distribution$NormalDistributionImpl:109 org.apache.commons.math.distribution$NormalDistributionImpl:111,19,1,1,10,0,11,0.35355339059327,0,0.25,NO_DEFECTIVE_FRAME,Defective frame and defective statement not covered
Mockito,21,1,2743,3,Y,N,org.mockito.internal.creation.instance$ConstructorInstantiator:17 org.mockito.internal.creation.instance$ConstructorInstantiator:20 org.mockito.internal.creation.instance$ConstructorInstantiator:24 org.mockito.internal.creation.instance$ConstructorInstantiator:25 org.mockito.internal.creation.instance$ConstructorInstantiator:29 org.mockito.internal.creation.instance$ConstructorInstantiator:36,,,,,,,,,,OTHER,
Mockito,21,2,2743,3,Y,N,org.mockito.internal.creation.instance$ConstructorInstantiator:17 org.mockito.internal.creation.instance$ConstructorInstantiator:20 org.mockito.internal.creation.instance$ConstructorInstantiator:24 org.mockito.internal.creation.instance$ConstructorInstantiator:25 org.mockito.internal.creation.instance$ConstructorInstantiator:29 org.mockito.internal.creation.instance$ConstructorInstantiator:36,,,,,,,,,,OTHER,
Mockito,21,3,2743,3,Y,N,org.mockito.internal.creation.instance$ConstructorInstantiator:17 org.mockito.internal.creation.instance$ConstructorInstantiator:20 org.mockito.internal.creation.instance$ConstructorInstantiator:24 org.mockito.internal.creation.instance$ConstructorInstantiator:25 org.mockito.internal.creation.instance$ConstructorInstantiator:29 org.mockito.internal.creation.instance$ConstructorInstantiator:36,,,,,,,,,,OTHER,
Mockito,36,1,5167,1,Y,N,org.mockito.internal.invocation$Invocation:11 org.mockito.internal.invocation$Invocation:202,,,,,,,,,,OTHER,
Time,2,1,12079,2,Y,Y,org.joda.time$Partial:218 org.joda.time$Partial:449 org.joda.time.field$UnsupportedDurationField:227,3962,1,1,2,2,2,0.40824829046386,0.40824829046386,0.53452248382485,FAILS_AFTER_FIX,
Time,2,2,12079,2,Y,Y,org.joda.time$Partial:218 org.joda.time$Partial:449 org.joda.time.field$UnsupportedDurationField:227,3962,1,1,2,2,2,0.40824829046386,0.40824829046386,0.53452248382485,FAILS_AFTER_FIX,Test cases fails in the fixed version of the program.
Time,5,2,9011,3,Y,Y,org.joda.time$Period:1628 org.joda.time$Period:1629 org.joda.time$Period:1630 org.joda.time$Period:1631 org.joda.time$Period:1633 org.joda.time$Period:1634,1920,3,1,4,0,5,0.52223296786709,0,0.45226701686665,FAILS_AFTER_FIX,The test cases fails in the fixed version of the program. 
Time,5,3,9011,3,Y,Y,org.joda.time$Period:1628 org.joda.time$Period:1629 org.joda.time$Period:1630 org.joda.time$Period:1631 org.joda.time$Period:1633 org.joda.time$Period:1634,1920,3,1,4,5,2,0.52223296786709,0.33333333333333,0.57735026918963,FAILS_AFTER_FIX,"Exception on precondition as the period will be normalized to seconds, only there are no seconds in the period."
Time,7,1,14789,6,Y,Y,org.joda.time.format$DateTimeFormatter:710 org.joda.time.format$DateTimeFormatter:708,2653,2,1,4,0,5,0.28284271247462,0,0.23094010767585,FAILS_AFTER_FIX,Fails to meet precondition.
Time,7,2,14789,6,Y,Y,org.joda.time.format$DateTimeFormatter:710 org.joda.time.format$DateTimeFormatter:708,2653,2,1,4,0,5,0.28284271247462,0,0.23094010767585,FAILS_AFTER_FIX,Fails to meet precondition.
Time,7,4,14789,6,Y,Y,org.joda.time.format$DateTimeFormatter:710 org.joda.time.format$DateTimeFormatter:708,2653,2,1,4,0,11,0.28284271247462,0,0.23094010767585,FAILS_AFTER_FIX,Makes use of deprecated class (DateTimeParserBucket).
Time,7,5,14789,6,Y,Y,org.joda.time.format$DateTimeFormatter:710 org.joda.time.format$DateTimeFormatter:708,2653,2,1,4,0,8,0.28284271247462,0,0.23094010767585,FAILS_AFTER_FIX,
Time,7,6,14789,6,Y,Y,org.joda.time.format$DateTimeFormatter:710 org.joda.time.format$DateTimeFormatter:708,2653,2,1,4,21,16,0.28284271247462,0.20412414523193,0.33968311024338,FAILS_AFTER_FIX,
Time,8,1,6691,1,Y,Y,org.joda.time$DateTimeZone:279 org.joda.time$DateTimeZone:286 org.joda.time$DateTimeZone:282,3901,1,1,13,2,5,0.12700012700019,0.12700012700019,0.17817416127495,FAILS_AFTER_FIX,"Missing precondition: positive hour cannot have a negative minute, only positive positive or negative negative is allowed."
Time,10,1,14769,5,Y,Y,org.joda.time.base$BaseSingleFieldPeriod:104 org.joda.time.base$BaseSingleFieldPeriod:52,342,2,1,52,0,172,0.40824829046386,0,0.33333333333333,,
Time,10,2,14769,5,Y,Y,org.joda.time.base$BaseSingleFieldPeriod:104 org.joda.time.base$BaseSingleFieldPeriod:52,342,2,1,52,0,56,0.40824829046386,0,0.33333333333333,NO_DEFECTIVE_FRAME,Bug is in the fourth frame of the stack-trace.
Time,10,3,14769,5,Y,N,org.joda.time.base$BaseSingleFieldPeriod:104 org.joda.time.base$BaseSingleFieldPeriod:52,,,,,,,,,,OTHER,
Time,10,4,14769,5,Y,Y,org.joda.time.base$BaseSingleFieldPeriod:104 org.joda.time.base$BaseSingleFieldPeriod:52,342,2,1,52,82,83,0.40824829046386,0.30151134457776,0.48038446141526,FAILS_AFTER_FIX,"Second integer in the Gregorian Calendar is invalid, causing the test case to fail always."
Time,10,5,14769,5,Y,Y,org.joda.time.base$BaseSingleFieldPeriod:104 org.joda.time.base$BaseSingleFieldPeriod:52,342,2,1,52,54,57,0.40824829046386,0.30151134457776,0.48038446141526,FAILS_AFTER_FIX,Missing the precondition: Both MonthDay parts are invalid.
Time,20,1,11623,1,Y,N,org.joda.time.format$DateTimeFormatterBuilder:2544 org.joda.time.format$DateTimeFormatterBuilder:2545 org.joda.time.format$DateTimeFormatterBuilder:2542 org.joda.time.format$DateTimeFormatterBuilder:2547,,,,,,,,,,OTHER,
